image,total_matches,inliers,inlier_ratio,latency_ms
images-00900.png,146,85,0.5822,4035.69
images-00901.png,123,56,0.4553,3926.85
images-00902.png,126,71,0.5635,4117.71
images-00903.png,134,77,0.5746,4074.02
images-00904.png,109,79,0.7248,4035.23
images-00905.png,115,65,0.5652,4136.78
images-00906.png,69,59,0.8551,4007.12
images-00907.png,161,120,0.7453,4168.73
images-00908.png,183,140,0.765,4230.33
images-00909.png,215,159,0.7395,4262.77
images-00910.png,200,157,0.785,4352.47
images-00911.png,197,156,0.7919,4384.16
images-00912.png,212,134,0.6321,4376.01
images-00913.png,255,222,0.8706,4521.84
images-00914.png,249,177,0.7108,4529.2
images-00915.png,199,165,0.8291,4559.94
images-00916.png,278,221,0.795,4480.71
images-00917.png,230,150,0.6522,4561.54
images-00918.png,210,163,0.7762,4631.82
images-00919.png,218,167,0.7661,4685.24
images-00920.png,202,157,0.7772,4668.57
images-00921.png,201,145,0.7214,4434.4
images-00922.png,210,147,0.7,4498.66
images-00923.png,228,178,0.7807,4520.63
images-00924.png,161,110,0.6832,4593.88
images-00925.png,135,113,0.837,4578.81
images-00926.png,156,111,0.7115,4586.91
images-00927.png,154,127,0.8247,4517.36
images-00928.png,194,155,0.799,4488.83
images-00929.png,196,147,0.75,4657.6
images-00930.png,218,140,0.6422,4570.56
images-00931.png,202,122,0.604,4597.92
images-00932.png,79,50,0.6329,4670.83
images-00933.png,184,97,0.5272,4898.56
images-00934.png,215,150,0.6977,4964.64
images-00935.png,168,112,0.6667,5028.03
images-00936.png,203,131,0.6453,4683.55
images-00937.png,136,75,0.5515,4782.88
images-00938.png,179,155,0.8659,4617.06
images-00939.png,195,148,0.759,4757.45
images-00940.png,172,103,0.5988,4750.04
images-00941.png,172,112,0.6512,4869.53
images-00942.png,188,149,0.7926,4727.38
images-00943.png,170,161,0.9471,4668.6
images-00944.png,168,116,0.6905,4682.96
images-00945.png,175,119,0.68,4795.95
images-00946.png,156,91,0.5833,4666.72
images-00947.png,187,109,0.5829,4835.71
images-00948.png,146,79,0.5411,4755.08
images-00949.png,115,83,0.7217,4789.67
images-00950.png,172,115,0.6686,4800.12
